Mod:Item:MetaData, Localized Name
chisel:lavastone:6, 熔岩石
chisel:lavastone:7, 熔岩石
chisel:leadblock:0, 铅块
chisel:leadblock:1, 铅块
chisel:leadblock:2, 铅块
chisel:leadblock:3, 铅块
chisel:leadblock:4, 铅块
chisel:leadblock:5, 铅块
chisel:leaves:6, 树叶
chisel:leaves:7, 树叶
chisel:leaves:8, 树叶
chisel:leaves:9, 树叶
chisel:leaves:10, 树叶
chisel:leaves:11, 树叶
chisel:leaves:12, 树叶
chisel:limestone:0, 石灰岩
chisel:limestone:1, 石灰岩
chisel:limestone:2, 石灰岩
chisel:limestone:3, 石灰岩
chisel:limestone:4, 石灰岩
chisel:limestone:5, 石灰岩
chisel:limestone:6, 石灰岩
chisel:limestone:7, 石灰岩
chisel:limestone:8, 石灰岩
chisel:limestone:9, 石灰岩
chisel:limestone:10, 石灰岩
chisel:limestone:11, 石灰岩
chisel:limestone:12, 石灰岩
chisel:limestone:13, 石灰岩
chisel:limestone:14, 石灰岩
chisel:limestone:15, 石灰岩
chisel:limestone_slab:0, 石灰岩台阶
chisel:limestone_slab:1, 石灰岩台阶
chisel:limestone_slab:2, 石灰岩台阶
chisel:limestone_slab:3, 石灰岩台阶
chisel:limestone_slab:4, 石灰岩台阶
chisel:limestone_slab:5, 石灰岩台阶
chisel:limestone_slab:6, 石灰岩台阶
chisel:limestone_slab:7, 石灰岩台阶
chisel:limestone_slab:8, 石灰岩台阶
chisel:limestone_slab:9, 石灰岩台阶
chisel:limestone_slab:10, 石灰岩台阶
chisel:limestone_slab:11, 石灰岩台阶
chisel:limestone_slab:12, 石灰岩台阶
chisel:limestone_slab:13, 石灰岩台阶
chisel:limestone_slab:14, 石灰岩台阶
chisel:limestone_slab:15, 石灰岩台阶
chisel:limestone_stairs.0:0, 石灰岩楼梯
chisel:limestone_stairs.0:8, 石灰岩楼梯
chisel:limestone_stairs.1:0, 石灰岩楼梯
chisel:limestone_stairs.1:8, 石灰岩楼梯
chisel:limestone_stairs.2:0, 石灰岩楼梯
chisel:limestone_stairs.2:8, 石灰岩楼梯
chisel:limestone_stairs.3:0, 石灰岩楼梯
chisel:limestone_stairs.3:8, 石灰岩楼梯
chisel:limestone_stairs.4:0, 石灰岩楼梯
chisel:limestone_stairs.4:8, 石灰岩楼梯
chisel:limestone_stairs.5:0, 石灰岩楼梯
chisel:limestone_stairs.5:8, 石灰岩楼梯
chisel:limestone_stairs.6:0, 石灰岩楼梯
chisel:limestone_stairs.6:8, 石灰岩楼梯
chisel:limestone_stairs.7:0, 石灰岩楼梯
chisel:limestone_stairs.7:8, 石灰岩楼梯
chisel:marble:0, 大理石
chisel:marble:1, 大理石
chisel:marble:2, 大理石
chisel:marble:3, 大理石
chisel:marble:4, 大理石
chisel:marble:5, 大理石
chisel:marble:6, 大理石
chisel:marble:7, 大理石
chisel:marble:8, 大理石
chisel:marble:9, 大理石
chisel:marble:10, 大理石
chisel:marble:11, 大理石
chisel:marble:12, 大理石
chisel:marble:13, 大理石
chisel:marble:14, 大理石
chisel:marble:15, 大理石
chisel:marble_slab:0, 大理石台阶
chisel:marble_slab:1, 大理石台阶
chisel:marble_slab:2, 大理石台阶
chisel:marble_slab:3, 大理石台阶
chisel:marble_slab:4, 大理石台阶
chisel:marble_slab:5, 大理石台阶
chisel:marble_slab:6, 大理石台阶
chisel:marble_slab:7, 大理石台阶
chisel:marble_slab:8, 大理石台阶
chisel:marble_slab:9, 大理石台阶
chisel:marble_slab:10, 大理石台阶
chisel:marble_slab:11, 大理石台阶
chisel:marble_slab:12, 大理石台阶
chisel:marble_slab:13, 大理石台阶
chisel:marble_slab:14, 大理石台阶
chisel:marble_slab:15, 大理石台阶
chisel:marble_stairs.0:0, 大理石楼梯
chisel:marble_stairs.0:8, 大理石楼梯
chisel:marble_stairs.1:0, 大理石楼梯
chisel:marble_stairs.1:8, 大理石楼梯
chisel:marble_stairs.2:0, 大理石楼梯
chisel:marble_stairs.2:8, 大理石楼梯
chisel:marble_stairs.3:0, 大理石楼梯
chisel:marble_stairs.3:8, 大理石楼梯
chisel:marble_stairs.4:0, 大理石楼梯
chisel:marble_stairs.4:8, 大理石楼梯
chisel:marble_stairs.5:0, 大理石楼梯
chisel:marble_stairs.5:8, 大理石楼梯
chisel:marble_stairs.6:0, 大理石楼梯
chisel:marble_stairs.6:8, 大理石楼梯
chisel:marble_stairs.7:0, 大理石楼梯
chisel:marble_stairs.7:8, 大理石楼梯
chisel:marble_pillar:0, 大理石柱
chisel:marble_pillar:1, 大理石柱
chisel:marble_pillar:2, 大理石柱
chisel:marble_pillar:3, 大理石柱
chisel:marble_pillar:4, 大理石柱
chisel:marble_pillar:5, 大理石柱
chisel:marble_pillar:6, 大理石柱
chisel:marble_pillar:7, 大理石柱
chisel:marble_pillar:8, 大理石柱
chisel:marble_pillar:9, 大理石柱
chisel:marble_pillar:10, 大理石柱
chisel:marble_pillar:11, 大理石柱
chisel:marble_pillar:12, 大理石柱
chisel:marble_pillar:13, 大理石柱
chisel:marble_pillar:14, 大理石柱
chisel:marble_pillar:15, 大理石柱
chisel:marble_pillar_slab:0, Marble Pillar Slab
chisel:marble_pillar_slab:1, Marble Pillar Slab
chisel:marble_pillar_slab:2, Marble Pillar Slab
chisel:marble_pillar_slab:3, Marble Pillar Slab
chisel:marble_pillar_slab:4, Marble Pillar Slab
chisel:marble_pillar_slab:5, Marble Pillar Slab
chisel:marble_pillar_slab:6, Marble Pillar Slab
chisel:marble_pillar_slab:7, Marble Pillar Slab
chisel:marble_pillar_slab:8, Marble Pillar Slab
chisel:marble_pillar_slab:9, Marble Pillar Slab
chisel:marble_pillar_slab:10, Marble Pillar Slab
chisel:marble_pillar_slab:11, Marble Pillar Slab
chisel:marble_pillar_slab:12, Marble Pillar Slab
chisel:marble_pillar_slab:13, Marble Pillar Slab
chisel:marble_pillar_slab:14, Marble Pillar Slab
chisel:marble_pillar_slab:15, Marble Pillar Slab
chisel:nation:0, 盟军方块
chisel:nation:1, 盟军方块
chisel:nation:2, 盟军方块
chisel:nation:3, 盟军方块
chisel:nation:4, 盟军方块
chisel:rebel:0, 叛军方块
chisel:rebel:1, 叛军方块
chisel:rebel:2, 叛军方块
chisel:rebel:3, 叛军方块
chisel:rebel:4, 叛军方块
chisel:nether_brick:1, 地狱砖
chisel:nether_brick:2, 地狱砖
chisel:nether_brick:3, 地狱砖
chisel:nether_brick:4, 地狱砖
chisel:nether_brick:5, 地狱砖
chisel:nether_brick:6, 地狱砖
chisel:nether_brick:7, 地狱砖
chisel:nether_brick:8, 地狱砖
chisel:nether_brick:9, 地狱砖
chisel:nether_brick:10, 地狱砖
chisel:nether_brick:11, 地狱砖
chisel:nether_brick:12, 地狱砖
chisel:nether_brick:13, 地狱砖
chisel:nether_brick:14, 地狱砖
chisel:nether_brick:15, 地狱砖
chisel:netherrack:1, 地狱岩
chisel:netherrack:2, 地狱岩
chisel:netherrack:3, 地狱岩
chisel:netherrack:4, 地狱岩
chisel:netherrack:5, 地狱岩
chisel:netherrack:6, 地狱岩
chisel:netherrack:7, 地狱岩
chisel:netherrack:8, 地狱岩
chisel:netherrack:9, 地狱岩
chisel:netherrack:10, 地狱岩
chisel:netherrack:11, 地狱岩
chisel:netherrack:12, 地狱岩
chisel:netherrack:13, 地狱岩
chisel:netherrack:14, 地狱岩
chisel:obsidian:1, 黑曜石
chisel:obsidian:2, 黑曜石
chisel:obsidian:3, 黑曜石
chisel:obsidian:4, 黑曜石
chisel:obsidian:5, 黑曜石
chisel:obsidian:6, 黑曜石
chisel:obsidian:7, 黑曜石
chisel:obsidian:8, 黑曜石
chisel:obsidian:9, 黑曜石
chisel:obsidian:10, 黑曜石
chisel:obsidian:11, 黑曜石
chisel:obsidian:12, 黑曜石
chisel:obsidian:13, 黑曜石
chisel:obsidian:14, 黑曜石
chisel:obsidian:15, 黑曜石
chisel:packedice:1, 浮冰
chisel:packedice:2, 浮冰
chisel:packedice:3, 浮冰
chisel:packedice:4, 浮冰
chisel:packedice:5, 浮冰
chisel:packedice:6, 浮冰
chisel:packedice:7, 浮冰
chisel:packedice:8, 浮冰
chisel:packedice:9, 浮冰
chisel:packedice:10, 浮冰
chisel:packedice:11, 浮冰
chisel:packedice:12, 浮冰
chisel:packedice:13, 浮冰
chisel:packedice:14, 浮冰
chisel:packedice:15, 浮冰
chisel:packedice_pillar:0, 浮冰柱
chisel:packedice_pillar:1, 浮冰柱
chisel:packedice_pillar:2, 浮冰柱
chisel:packedice_pillar:3, 浮冰柱
chisel:packedice_pillar:4, 浮冰柱
chisel:packedice_pillar:5, 浮冰柱
chisel:packedice_pillar:6, 浮冰柱
chisel:packedice_stairs.0:0, 浮冰楼梯
chisel:packedice_stairs.0:8, 浮冰楼梯
chisel:packedice_stairs.1:0, 浮冰楼梯
chisel:packedice_stairs.1:8, 浮冰楼梯
chisel:packedice_stairs.2:0, 浮冰楼梯
chisel:packedice_stairs.2:8, 浮冰楼梯
chisel:packedice_stairs.3:0, 浮冰楼梯
chisel:packedice_stairs.3:8, 浮冰楼梯
chisel:packedice_stairs.4:0, 浮冰楼梯
chisel:packedice_stairs.4:8, 浮冰楼梯
chisel:packedice_stairs.5:0, 浮冰楼梯
chisel:packedice_stairs.5:8, 浮冰楼梯
chisel:packedice_stairs.6:0, 浮冰楼梯
chisel:packedice_stairs.6:8, 浮冰楼梯
chisel:packedice_stairs.7:0, 浮冰楼梯
chisel:packedice_stairs.7:8, 浮冰楼梯
chisel:paperwall:0, 障子
chisel:paperwall:1, 障子
chisel:paperwall:2, 障子
chisel:paperwall:3, 障子
chisel:paperwall:4, 障子
chisel:paperwall:5, 障子
chisel:paperwall:6, 障子
chisel:paperwall:7, 障子
chisel:paperwall:8, 障子
chisel:paperwall_block:0, 障子方块
chisel:paperwall_block:1, 障子方块
chisel:paperwall_block:2, 障子方块
chisel:paperwall_block:3, 障子方块
chisel:paperwall_block:4, 障子方块
chisel:paperwall_block:5, 障子方块
chisel:paperwall_block:6, 障子方块
chisel:paperwall_block:7, 障子方块
chisel:paperwall_block:8, 障子方块
chisel:present:0, 礼物
chisel:present:1, 礼物
chisel:present:2, 礼物
chisel:present:3, 礼物
chisel:present:4, 礼物
chisel:present:5, 礼物
chisel:present:6, 礼物
chisel:present:7, 礼物
chisel:present:8, 礼物
chisel:present:9, 礼物
chisel:present:10, 礼物
chisel:present:11, 礼物
chisel:present:12, 礼物
chisel:present:13, 礼物
chisel:present:14, 礼物
chisel:present:15, 礼物
chisel:pumpkin1:0, 南瓜
chisel:pumpkin2:0, 南瓜
chisel:pumpkin3:0, 南瓜
chisel:pumpkin4:0, 南瓜
chisel:pumpkin5:0, 南瓜
chisel:pumpkin6:0, 南瓜
chisel:pumpkin7:0, 南瓜
chisel:pumpkin8:0, 南瓜
chisel:pumpkin9:0, 南瓜
chisel:pumpkin10:0, 南瓜
chisel:pumpkin11:0, 南瓜
chisel:pumpkin12:0, 南瓜
chisel:pumpkin13:0, 南瓜
chisel:pumpkin14:0, 南瓜
chisel:pumpkin15:0, 南瓜
chisel:pumpkin16:0, 南瓜
chisel:purpur:0, Purpur Block
chisel:purpur:1, Purpur Block
chisel:purpur:2, Purpur Block
chisel:purpur:3, Purpur Block
chisel:purpur:4, Purpur Block
chisel:purpur:5, Purpur Block
chisel:purpur:6, Purpur Block
chisel:purpur:7, Purpur Block
chisel:purpur:8, Purpur Block
chisel:purpur:9, Purpur Block
chisel:purpur:10, Purpur Block
chisel:redstone_block:1, 红石块
chisel:redstone_block:2, 红石块
chisel:redstone_block:3, 红石块
chisel:redstone_block:4, 红石块
chisel:redstone_block:5, 红石块
chisel:redstone_block:6, 红石块
chisel:redstone_block:7, 红石块
chisel:redstone_block:8, 红石块
chisel:redstone_block:9, 红石块
chisel:redstone_block:10, 红石块
chisel:redstone_block:11, 红石块
chisel:redstone_block:12, 红石块
chisel:redstone_block:13, 红石块
chisel:redstone_block:14, 红石块
chisel:redstone_block:15, 红石块
chisel:road_line:0, 道路标线
chisel:road_line:1, 道路标线
chisel:road_line:2, 道路标线
chisel:road_line:3, 道路标线
chisel:sandstone:0, 沙石
chisel:sandstone:1, 沙石
chisel:sandstone:2, 沙石
chisel:sandstone:3, 沙石
chisel:sandstone:4, 沙石
chisel:sandstone:5, 沙石
chisel:sandstone:6, 沙石
chisel:sandstone:7, 沙石
chisel:sandstone:8, 沙石
chisel:sandstone:9, 沙石
chisel:sandstone:10, 沙石
chisel:sandstone:11, 沙石
chisel:sandstone:12, 沙石
chisel:sandstone:13, 沙石
chisel:sandstone:14, 沙石
chisel:sandstone:15, 沙石
chisel:sandstone2:0, tile.chisel.sandstone2.name
chisel:sandstone2:1, tile.chisel.sandstone2.name
chisel:sandstone_scribbles:0, 刻文沙石
chisel:sandstone_scribbles:1, 刻文沙石
chisel:sandstone_scribbles:2, 刻文沙石
chisel:sandstone_scribbles:3, 刻文沙石
chisel:sandstone_scribbles:4, 刻文沙石
chisel:sandstone_scribbles:5, 刻文沙石
chisel:sandstone_scribbles:6, 刻文沙石
chisel:sandstone_scribbles:7, 刻文沙石
chisel:sandstone_scribbles:8, 刻文沙石
chisel:sandstone_scribbles:9, 刻文沙石
chisel:sandstone_scribbles:10, 刻文沙石
chisel:sandstone_scribbles:11, 刻文沙石
chisel:sandstone_scribbles:12, 刻文沙石
chisel:sandstone_scribbles:13, 刻文沙石
chisel:sandstone_scribbles:14, 刻文沙石
chisel:sandstone_scribbles:15, 刻文沙石
chisel:silverblock:0, 银块
chisel:silverblock:1, 银块
chisel:silverblock:2, 银块
chisel:silverblock:3, 银块
chisel:silverblock:4, 银块
chisel:silverblock:5, 银块
chisel:sand_snakestone:1, 蛇纹沙石
chisel:sand_snakestone:13, 蛇纹沙石
chisel:stone_snakestone:1, 蛇纹石头
chisel:stone_snakestone:13, 蛇纹石头
chisel:obsidian_snakestone:1, 蛇纹黑曜石
chisel:obsidian_snakestone:13, 蛇纹黑曜石
chisel:steelblock:0, 钢块
chisel:steelblock:1, 钢块
chisel:steelblock:2, 钢块
chisel:steelblock:3, 钢块
chisel:steelblock:4, 钢块
chisel:steelblock:5, 钢块
chisel:stonebricksmooth:0, 石砖
chisel:stonebricksmooth:1, 石砖
chisel:stonebricksmooth:2, 石砖
chisel:stonebricksmooth:3, 石砖
chisel:stonebricksmooth:4, 石砖
chisel:stonebricksmooth:5, 石砖
chisel:stonebricksmooth:6, 石砖
chisel:stonebricksmooth:7, 石砖
chisel:stonebricksmooth:8, 石砖
chisel:stonebricksmooth:9, 石砖
chisel:stonebricksmooth:10, 石砖
chisel:stonebricksmooth:11, 石砖
chisel:stonebricksmooth:12, 石砖
chisel:stonebricksmooth:13, 石砖
chisel:stonebricksmooth:14, 石砖
chisel:stonebricksmooth:15, 石砖
chisel:tallow:0, 油脂方块
chisel:tallow:1, 油脂方块
chisel:technical:0, 工艺方块
chisel:technical:1, 工艺方块
chisel:technical:2, 工艺方块
chisel:technical:3, 工艺方块
chisel:technical:4, 工艺方块
chisel:technical:5, 工艺方块
chisel:technical:6, 工艺方块
chisel:technical:7, 工艺方块
chisel:technical:8, 工艺方块
chisel:technical:9, 工艺方块
chisel:technical:10, 工艺方块
chisel:technical:11, 工艺方块
chisel:technical:12, 工艺方块
chisel:technical:13, 工艺方块
chisel:technical:14, 工艺方块
chisel:technical:15, 工艺方块
chisel:technical2:0, 简易工艺方块
chisel:technical2:1, 简易工艺方块
chisel:technical2:2, 简易工艺方块
chisel:technical2:3, 简易工艺方块
chisel:technical3:0, 工业工艺方块
chisel:technical3:1, 工业工艺方块
chisel:technical4:0, Technical Block
chisel:technical4:1, Technical Block
chisel:technical4:2, Technical Block
chisel:technical4:3, Technical Block
chisel:technical4:4, Technical Block
chisel:technical4:5, Technical Block
chisel:technical4:6, Technical Block
chisel:technical4:7, Technical Block
chisel:templeblock:0, 神庙石
chisel:templeblock:1, 神庙石
chisel:templeblock:2, 神庙石
chisel:templeblock:3, 神庙石
chisel:templeblock:4, 神庙石
chisel:templeblock:5, 神庙石
chisel:templeblock:6, 神庙石
chisel:templeblock:7, 神庙石
chisel:templeblock:8, 神庙石
chisel:templeblock:9, 神庙石
chisel:templeblock:10, 神庙石
chisel:templeblock:11, 神庙石
chisel:templeblock:12, 神庙石
chisel:templeblock:13, 神庙石
chisel:templeblock:14, 神庙石
chisel:templeblock:15, 神庙石
chisel:mossy_templeblock:0, 神庙苔石
chisel:mossy_templeblock:1, 神庙苔石
chisel:mossy_templeblock:2, 神庙苔石
chisel:mossy_templeblock:3, 神庙苔石
chisel:mossy_templeblock:4, 神庙苔石
chisel:mossy_templeblock:5, 神庙苔石
chisel:mossy_templeblock:6, 神庙苔石
chisel:mossy_templeblock:7, 神庙苔石
chisel:mossy_templeblock:8, 神庙苔石
chisel:mossy_templeblock:9, 神庙苔石
chisel:mossy_templeblock:10, 神庙苔石
chisel:mossy_templeblock:11, 神庙苔石
chisel:mossy_templeblock:12, 神庙苔石
chisel:mossy_templeblock:13, 神庙苔石
chisel:mossy_templeblock:14, 神庙苔石
chisel:mossy_templeblock:15, 神庙苔石
chisel:tinblock:0, 锡块
chisel:tinblock:1, 锡块
chisel:tinblock:2, 锡块
chisel:tinblock:3, 锡块
chisel:tinblock:4, 锡块
chisel:tinblock:5, 锡块
chisel:thaumium:0, 神秘方块
chisel:thaumium:1, 神秘方块
chisel:thaumium:2, 神秘方块
chisel:thaumium:3, 神秘方块
chisel:thaumium:4, 神秘方块
chisel:thaumium:5, 神秘方块
chisel:torch1, 火把
chisel:torch2, 火把
chisel:torch3, 火把
chisel:torch4, 火把
chisel:torch5, 火把
chisel:torch6, 火把
chisel:torch7, 火把
chisel:torch8, 火把
chisel:torch9, 火把
chisel:torch10, 火把
chisel:tyrian:0, 未来风格金属块
chisel:tyrian:1, 未来风格金属块
chisel:tyrian:2, 未来风格金属块
chisel:tyrian:3, 未来风格金属块
chisel:tyrian:4, 未来风格金属块
chisel:tyrian:5, 未来风格金属块
chisel:tyrian:6, 未来风格金属块
chisel:tyrian:7, 未来风格金属块
chisel:tyrian:8, 未来风格金属块
chisel:tyrian:9, 未来风格金属块
chisel:tyrian:10, 未来风格金属块
chisel:tyrian:11, 未来风格金属块
chisel:tyrian:12, 未来风格金属块
chisel:tyrian:13, 未来风格金属块
chisel:tyrian:14, 未来风格金属块
chisel:tyrian:15, 未来风格金属块
chisel:uraniumblock:0, 铀块
chisel:uraniumblock:1, 铀块
chisel:uraniumblock:2, 铀块
chisel:uraniumblock:3, 铀块
chisel:uraniumblock:4, 铀块
chisel:uraniumblock:5, 铀块
chisel:valentines:0, 少女心方块
chisel:valentines:1, 少女心方块
chisel:valentines:2, 少女心方块
chisel:valentines:3, 少女心方块
chisel:valentines:4, 少女心方块
chisel:valentines:5, 少女心方块
chisel:valentines:6, 少女心方块
chisel:valentines:7, 少女心方块
chisel:valentines:8, 少女心方块
chisel:valentines:9, 少女心方块
chisel:voidstone:0, 虚空石
chisel:voidstone:1, 虚空石
chisel:voidstone:2, 虚空石
chisel:voidstone:3, 虚空石
chisel:voidstone:4, 虚空石
chisel:voidstone:5, 虚空石
chisel:voidstone:6, 虚空石
chisel:voidstone:7, 虚空石
chisel:voidstone2:0, 充能虚空石
chisel:voidstone2:1, 充能虚空石
chisel:voidstone2:2, 充能虚空石
chisel:voidstone2:3, 充能虚空石
chisel:voidstone2:4, 充能虚空石
chisel:voidstone2:5, 充能虚空石
chisel:voidstone2:6, 充能虚空石
chisel:voidstone2:7, 充能虚空石
chisel:voidstoneRunic:1, 符文虚空石
chisel:voidstoneRunic:2, 符文虚空石
chisel:voidstoneRunic:3, 符文虚空石
chisel:voidstoneRunic:4, 符文虚空石
chisel:voidstoneRunic:5, 符文虚空石
chisel:voidstoneRunic:6, 符文虚空石
chisel:voidstoneRunic:7, 符文虚空石
chisel:voidstoneRunic:8, 符文虚空石
chisel:voidstoneRunic:9, 符文虚空石
chisel:voidstoneRunic:10, 符文虚空石
chisel:voidstoneRunic:11, 符文虚空石
chisel:voidstoneRunic:12, 符文虚空石
chisel:voidstoneRunic:13, 符文虚空石
chisel:voidstoneRunic:14, 符文虚空石
chisel:voidstoneRunic:15, 符文虚空石
chisel:voidstonePillar:0, 虚空石柱
chisel:voidstonePillar2:0, 充能虚空石柱
chisel:warningSign:0, 警告标志
chisel:warningSign:1, 警告标志
chisel:warningSign:2, 警告标志
chisel:warningSign:3, 警告标志
chisel:warningSign:4, 警告标志
chisel:warningSign:5, 警告标志
chisel:warningSign:6, 警告标志
chisel:warningSign:7, 警告标志
chisel:warningSign:8, 警告标志
chisel:warningSign:9, 警告标志
chisel:warningSign:10, 警告标志
chisel:warningSign:11, 警告标志
chisel:warningSign:12, 警告标志
chisel:warningSign:13, 警告标志
chisel:warningSign:14, 警告标志
chisel:waterstone:0, 流水石
chisel:waterstone:1, 流水石
chisel:waterstone:2, 流水石
chisel:waterstone:3, 流水石
chisel:waterstone:4, 流水石
chisel:waterstone:5, 流水石
chisel:waterstone:6, 流水石
chisel:oak_planks:1, 橡木板
chisel:oak_planks:2, 橡木板
chisel:oak_planks:6, 橡木板
chisel:oak_planks:8, 橡木板
chisel:oak_planks:9, 橡木板
chisel:oak_planks:10, 橡木板
chisel:oak_planks:11, 橡木板
chisel:oak_planks:13, 橡木板
chisel:oak_planks:3, 橡木板
chisel:oak_planks:4, 橡木板
chisel:oak_planks:5, 橡木板
chisel:oak_planks:7, 橡木板
chisel:oak_planks:12, 橡木板
chisel:oak_planks:14, 橡木板
chisel:oak_planks:15, 橡木板
chisel:spruce_planks:1, 云杉木板
chisel:spruce_planks:2, 云杉木板
chisel:spruce_planks:6, 云杉木板
chisel:spruce_planks:8, 云杉木板
chisel:spruce_planks:9, 云杉木板
chisel:spruce_planks:10, 云杉木板
chisel:spruce_planks:11, 云杉木板
chisel:spruce_planks:13, 云杉木板
chisel:spruce_planks:3, 云杉木板
chisel:spruce_planks:4, 云杉木板
chisel:spruce_planks:5, 云杉木板
chisel:spruce_planks:7, 云杉木板
chisel:spruce_planks:12, 云杉木板
chisel:spruce_planks:14, 云杉木板
chisel:spruce_planks:15, 云杉木板
chisel:birch_planks:1, 白桦木板
chisel:birch_planks:2, 白桦木板
chisel:birch_planks:6, 白桦木板
chisel:birch_planks:8, 白桦木板
chisel:birch_planks:9, 白桦木板
chisel:birch_planks:10, 白桦木板
chisel:birch_planks:11, 白桦木板
chisel:birch_planks:13, 白桦木板
chisel:birch_planks:3, 白桦木板
chisel:birch_planks:4, 白桦木板
chisel:birch_planks:5, 白桦木板
chisel:birch_planks:7, 白桦木板
chisel:birch_planks:12, 白桦木板
chisel:birch_planks:14, 白桦木板
chisel:birch_planks:15, 白桦木板
chisel:jungle_planks:1, 丛林木板
chisel:jungle_planks:2, 丛林木板
chisel:jungle_planks:6, 丛林木板
chisel:jungle_planks:8, 丛林木板
chisel:jungle_planks:9, 丛林木板
chisel:jungle_planks:10, 丛林木板
chisel:jungle_planks:11, 丛林木板
chisel:jungle_planks:13, 丛林木板
chisel:jungle_planks:3, 丛林木板
chisel:jungle_planks:4, 丛林木板
chisel:jungle_planks:5, 丛林木板
chisel:jungle_planks:7, 丛林木板
chisel:jungle_planks:12, 丛林木板
chisel:jungle_planks:14, 丛林木板
chisel:jungle_planks:15, 丛林木板
chisel:acacia_planks:1, 金合欢木板
chisel:acacia_planks:2, 金合欢木板
chisel:acacia_planks:6, 金合欢木板
chisel:acacia_planks:8, 金合欢木板
chisel:acacia_planks:9, 金合欢木板
chisel:acacia_planks:10, 金合欢木板
chisel:acacia_planks:11, 金合欢木板
chisel:acacia_planks:13, 金合欢木板
chisel:acacia_planks:3, 金合欢木板
chisel:acacia_planks:4, 金合欢木板
chisel:acacia_planks:5, 金合欢木板
chisel:acacia_planks:7, 金合欢木板
chisel:acacia_planks:12, 金合欢木板
chisel:acacia_planks:14, 金合欢木板
chisel:acacia_planks:15, 金合欢木板
chisel:dark_oak_planks:1, 深色橡木板
chisel:dark_oak_planks:2, 深色橡木板
chisel:dark_oak_planks:6, 深色橡木板
chisel:dark_oak_planks:8, 深色橡木板
chisel:dark_oak_planks:9, 深色橡木板
chisel:dark_oak_planks:10, 深色橡木板
chisel:dark_oak_planks:11, 深色橡木板
chisel:dark_oak_planks:13, 深色橡木板
chisel:dark_oak_planks:3, 深色橡木板
chisel:dark_oak_planks:4, 深色橡木板
chisel:dark_oak_planks:5, 深色橡木板
chisel:dark_oak_planks:7, 深色橡木板
chisel:dark_oak_planks:12, 深色橡木板
chisel:dark_oak_planks:14, 深色橡木板
chisel:dark_oak_planks:15, 深色橡木板
chisel:woolen_clay:0, 羊毛粘土
chisel:woolen_clay:1, 羊毛粘土
chisel:woolen_clay:2, 羊毛粘土
chisel:woolen_clay:3, 羊毛粘土
chisel:woolen_clay:4, 羊毛粘土
chisel:woolen_clay:5, 羊毛粘土
chisel:woolen_clay:6, 羊毛粘土
chisel:woolen_clay:7, 羊毛粘土
chisel:woolen_clay:8, 羊毛粘土
chisel:woolen_clay:9, 羊毛粘土
chisel:woolen_clay:10, 羊毛粘土
chisel:woolen_clay:11, 羊毛粘土
chisel:woolen_clay:12, 羊毛粘土
chisel:woolen_clay:13, 羊毛粘土
chisel:woolen_clay:14, 羊毛粘土
chisel:woolen_clay:15, 羊毛粘土
EnderIO:blockStirlingGenerator, 斯特林发电机
EnderIO:blockCombustionGenerator, 燃烧发电机
EnderIO:blockZombieGenerator, 僵尸发电机
EnderIO:blockSolarPanel:0, 光伏板
EnderIO:blockSolarPanel:1, 高级光伏板
EnderIO:blockSagMill, SAG磨粉机
EnderIO:blockAlloySmelter, 合金炉
EnderIO:blockCapBank:0, 创造模式电容库
EnderIO:blockCapBank:1, 基础电容库
EnderIO:blockCapBank:1, 基础电容库
EnderIO:blockCapBank:2, 电容库
EnderIO:blockCapBank:2, 电容库
EnderIO:blockCapBank:3, 谐振电容库
EnderIO:blockCapBank:3, 谐振电容库
EnderIO:blockPainter, 喷涂机
EnderIO:blockPaintedFence:0, 喷涂栅栏
EnderIO:blockPaintedFenceGate:0, 喷涂门
EnderIO:blockPaintedWall:0, 喷涂墙
EnderIO:blockPaintedStair:0, 喷涂楼梯
EnderIO:blockPaintedSlab:0, 喷涂台阶
EnderIO:blockPaintedDoubleSlab:0, 喷涂台阶
EnderIO:blockCrafter, 装配器
EnderIO:blockPaintedGlowstone:0, 喷涂萤石
EnderIO:blockPaintedCarpet:0, 喷涂地毯
EnderIO:blockVat, 酿液桶
EnderIO:blockPowerMonitor, 能量监控器
EnderIO:blockFarmStation, 种植站
EnderIO:blockWirelessCharger, 无线充能器
EnderIO:blockHyperCube, 空间传送器(弃用)
EnderIO:blockTank:0, 流体箱
EnderIO:blockTank:1, 高压流体箱
EnderIO:blockReservoir, 蓄水库
EnderIO:blockVacuumChest, 虚空箱子
EnderIO:blockTransceiver, 空间传送器
EnderIO:blockBuffer:0, 物品缓存器
EnderIO:blockBuffer:1, 能量缓存器
EnderIO:blockBuffer:2, 多功能缓存器
EnderIO:blockBuffer:3, 创造缓存器
EnderIO:blockInventoryPanel, 存储控制面板
EnderIO:blockEnderIo, 末影接口
EnderIO:blockTravelAnchor, 旅行锚
EnderIO:blockTelePad, 传送台
EnderIO:blockSliceAndSplice, 头颅装配机
EnderIO:blockSoulBinder, 灵魂绑定器
EnderIO:blockPoweredSpawner, 电动刷怪笼
EnderIO:blockKillerJoe, 杀手乔
EnderIO:blockAttractor, 生物诱引方尖碑
EnderIO:blockSpawnGuard, 生物排除方尖碑
EnderIO:blockExperienceObelisk, 经验交换方尖碑
EnderIO:blockWeatherObelisk, 气象方尖碑
EnderIO:blockInhibitorObelisk, tile.blockInhibitorObelisk.name
